Power Setting,Angle (degrees),Distance (meters)
1,0,0.64
1,1,0.66
1,2,0.67
1,3,0.69
1,4,0.70
1,5,0.72
1,6,0.73
1,7,0.74
1,8,0.76
1,9,0.77
1,10,0.79
1,11,0.80
1,12,0.81
1,13,0.83
1,14,0.84
1,15,0.85
1,16,0.87
1,17,0.88
1,18,0.89
1,19,0.90
1,20,0.92
1,21,0.93
1,22,0.94
1,23,0.95
1,24,0.96
1,25,0.97
1,26,0.98
1,27,0.98
1,28,0.99
1,29,1.00
1,30,1.00
1,31,1.01
1,32,1.01
1,33,1.02
1,34,1.02
1,35,1.02
1,36,1.03
1,37,1.03
1,38,1.03
1,39,1.03
1,40,1.03
1,41,1.02
1,42,1.02
1,43,1.02
1,44,1.01
1,45,1.01
1,46,1.00
1,47,0.99
1,48,0.98
1,49,0.98
1,50,0.97
1,51,0.96
1,52,0.94
1,53,0.93
1,54,0.92
1,55,0.90
1,56,0.89
1,57,0.87
1,58,0.86
1,59,0.84
1,60,0.82
1,61,0.80
1,62,0.78
1,63,0.76
1,64,0.74
1,65,0.72
1,66,0.69
1,67,0.67
1,68,0.65
1,69,0.62
1,70,0.60
1,71,0.57
1,72,0.54
1,73,0.52
1,74,0.49
1,75,0.46
1,76,0.43
1,77,0.40
1,78,0.37
1,79,0.34
1,80,0.31
1,81,0.28
1,82,0.25
1,83,0.22
1,84,0.19
1,85,0.16
1,86,0.13
1,87,0.10
1,88,0.06
1,89,0.03
1,90,0.00
2,0,0.89
2,1,0.92
2,2,0.94
2,3,0.97
2,4,1.00
2,5,1.03
2,6,1.06
2,7,1.09
2,8,1.11
2,9,1.14
2,10,1.17
2,11,1.20
2,12,1.23
2,13,1.26
2,14,1.29
2,15,1.32
2,16,1.35
2,17,1.38
2,18,1.40
2,19,1.43
2,20,1.46
2,21,1.48
2,22,1.51
2,23,1.53
2,24,1.55
2,25,1.58
2,26,1.60
2,27,1.62
2,28,1.64
2,29,1.65
2,30,1.67
2,31,1.69
2,32,1.70
2,33,1.71
2,34,1.72
2,35,1.73
2,36,1.74
2,37,1.75
2,38,1.75
2,39,1.76
2,40,1.76
2,41,1.76
2,42,1.76
2,43,1.76
2,44,1.75
2,45,1.75
2,46,1.74
2,47,1.73
